OBJECTID,ALC_Score,BLOS_SCORE,DEST_SCORE,INTER_SCORE,JOBS_SCORE,POP_SCORE,TRANSIT_SCORE,BIKE_SCORE
104000,0,,,3,,,,
104001,0,,,3,,,,
104002,0,,,3,,,,
104003,0,,,3,,,,
104004,0,,,3,,,,
104005,0,,,3,,,,
104006,0,,,2,,,,
104007,0,,,2,,,,
104008,0,,,2,,,,
104009,0,,,2,,,,
104010,0,,,2,,,,
104011,0,,,2,,,,
104012,0,,,2,,,,
104013,0,,,2,,,,
104014,0,,,3,,,,
104015,0,,,3,,,,
104016,0,,,3,,,,
104017,0,,,2,,,,
104018,0,,,2,,,,
104019,0,,,2,,,,
104020,0,,,2,,,,
104021,0,,,2,,,,
104022,0,,,2,,,,
104023,0,,,2,,,,
104024,0,,,2,,,,
104025,0,,,3,,,,
104026,0,,,2,,,,
104027,0,,,3,,,,
104028,0,,,2,,,,
104029,0,,,3,,,,
104030,0,,,2,,,,
104031,0,,,3,,,,
104032,0,,,2,,,,
104033,0,,,4,,,,
104034,0,,,3,,,,
104035,0,,,2,,,,
104036,0,,,2,,,,
104037,0,,,2,,,,
104038,0,,,4,,,,
104039,0,,,3,,,,
104040,0,,,2,,,,
104041,0,,,3,,,,
104042,0,,,2,,,,
104043,0,,,3,,,,
104044,0,,,2,,,,
104045,0,,,7,,,,
104046,0,,,6,,,,
104047,0,,,5,,,,
104048,0,,,4,,,,
104049,0,,,3,,,,
104050,0,,,2,,,,
104051,0,,,4,,,,
104052,0,,,3,,,,
104053,0,,,8,,,,
104054,0,,,7,,,,
104055,0,,,6,,,,
104056,0,,,5,,,,
104057,0,,,4,,,,
104058,0,,,3,,,,
104059,0,,,2,,,,
104060,0,,,2,,,,
104061,0,,,3,,,,
104062,0,,,2,,,,
104063,0,,,15,,,,
104064,0,,,14,,,,
104065,0,,,12,,,,
104066,0,,,10,,,,
104067,0,,,9,,,,
104068,0,,,8,,,,
104069,0,,,7,,,,
104070,0,,,6,,,,
104071,0,,,5,,,,
104072,0,,,4,,,,
104073,0,,,3,,,,
104074,0,,,2,,,,
104075,0,,,4,,,,
104076,0,,,3,,,,
104077,0,,,0,,,,
104078,0,,,2,,,,
104079,0,,,2,,,,
104080,0,,,3,,,,
104081,0,,,3,,,,
104082,0,,,3,,,,
104083,0,,,2,,,,
104084,0,,,2,,,,
104085,0,,,2,,,,
104086,0,,,2,,,,
104087,0,,,2,,,,
104088,0,,,1,,,,
104089,0,0,,2,,,,1
104090,0,0,,16,,,,4
104091,0,0,,14,,,,4
104092,0,0,,13,,,,4
104093,0,0,,12,,,,4
104094,0,0,,11,,,,4
104095,0,0,,10,,,,4
104096,0,0,,9,,,,4
104097,0,0,,8,,,,4
104098,0,0,,7,,,,4
104099,0,0,,6,,,,4
104100,0,0,,5,,,,4
104101,0,0,,4,,,,4
104102,0,0,,2,,,,1
104103,0,0,,1,,,,2
104104,0,0,,1,,,,1
104105,0,,10.4,1,,,0,
104106,0,,0,3,,,0,
104107,0,,0,2,,,0,
104108,0,,0,2,,,0,
104109,0,,0,2,,,0,
104110,0,,0,2,,,0,
104111,0,,0,0,,,0,
104112,0,,0,1,,,0,
104113,0,,,2,0,1,,
104114,0,,,9,0,1,,
104115,0,,,8,0,1,,
104116,0,,,3,0,0.5,,
104117,0,,,2,0,0.5,,
104118,0,,,2,0,0.5,,
104119,0,,,2,0,1,,
104120,0,,,2,0,0.5,,
104121,0,,,1,0,1,,
104122,0,,,1,0,0.5,,
104123,0,,,1,0,0.5,,
104124,0,,,1,0,0.5,,
104125,0,,,1,0,0.5,,
104126,0,,,1,0,0.5,,
104127,0,,,1,0,1,,
104128,0,,,1,0,0.5,,
104129,0,,,1,0,0.5,,
104130,0,,,1,0,1,,
104131,0,,,1,0,0.5,,
104132,0,,,1,0,1,,
104133,0,,,1,0,1,,
104134,0,0,0,3,,,0,1
104135,0,0,0,2,,,0,1
104136,0,0,0,2,,,0,1
104137,0,0,0,2,,,0,1
104138,0,0,0,3,,,0,1
104139,0,0,0,2,,,0,1
104140,0,0,0,1,,,0,1
104141,0,0,0,1,,,0,1
104142,0,0,,1,0,0.5,,2
104143,0,0,,1,0,0.5,,1
104144,0,0,,1,0,0.5,,1
104145,0,0,,1,0,0.5,,1
104146,0,0,,1,0,1,,1
104147,0,0,,1,0,1,,1
104148,0,,8,1,0,1,0,
104149,0,,0,2,0,0.5,0,
104150,0,,0,2,0,0.5,0,
104151,0,,0,2,0,1,0,
104152,0,,0,0,0,1,0,
104153,0,,0,0,0,0.5,0,
104154,0,,0,0,0,1,0,
104155,0,,0,1,0,0.5,0,
104156,0,,0,1,0,1,0,
104157,0,,0,1,0,1,0,
104158,0,,0,1,0,1,0,
104159,0,,0,1,0,0.5,0,
104160,0,1.8,,11,4.5,1,5,5
104161,17.6,0,9.6,3,,1,0,4
104162,5,0,0,3,0,1,0,1
104163,5,0,0,3,0,1,0,1
104164,5,0,0,3,0,1,0,1
104165,5,0,0,3,0,1,0,1
104166,5,0,0,3,0,1,0,1
104167,5,0,0,3,0,1,0,1
104168,4.5,0,0,3,0,0.5,0,1
104169,11,0,8,1,0,1,0,1
104170,12,0,8,2,0,1,0,1
104171,4.5,0,0,3,0,0.5,0,1
104172,13,0,8,3,0,1,0,1
104173,12.5,0,8,3,0,0.5,0,1
104174,5,0,0,3,0,1,0,1
104175,11.5,0,8,2,0,0.5,0,1
104176,12,0,8,2,0,1,0,1
104177,3.5,0,0,2,0,0.5,0,1
104178,3,0,0,1,0,1,0,1
104179,4,0,0,2,0,1,0,1
104180,4,0,0,2,0,1,0,1
104181,4,0,0,2,0,1,0,1
104182,4,0,0,2,0,1,0,1
104183,4,0,0,2,0,1,0,1
104184,4,0,0,2,0,1,0,1
104185,3.5,0,0,2,0,0.5,0,1
104186,2.5,0,0,1,0,0.5,0,1
104187,4,0,0,2,0,1,0,1
104188,2.5,0,0,1,0,0.5,0,1
104189,3.5,0,0,2,0,0.5,0,1
104190,4.5,0,0,3,0,0.5,0,1
104191,8.4,0,2.4,3,0,1,0,2
104192,3.5,0,0,2,0,0.5,0,1
104193,4.5,0,0,3,0,0.5,0,1
104194,7.4,0,2.4,3,0,1,0,1
104195,5,0,0,3,0,1,0,1
104196,2.5,0,0,1,0,0.5,0,1
104197,5,0,0,3,0,1,0,1
104198,4,0,0,2,0,1,0,1
104199,4.5,0,0,3,0,0.5,0,1
104200,4,0,0,2,0,1,0,1
104201,7,0,0,4,0,1,0,2
